class,Left_THUMB_CMC_x,Left_THUMB_CMC_y,Left_THUMB_CMC_z,Left_THUMB_MCP_x,Left_THUMB_MCP_y,Left_THUMB_MCP_z,Left_THUMB_IP_x,Left_THUMB_IP_y,Left_THUMB_IP_z,Left_THUMB_TIP_x,Left_THUMB_TIP_y,Left_THUMB_TIP_z,Left_INDEX_FINGER_MCP_x,Left_INDEX_FINGER_MCP_y,Left_INDEX_FINGER_MCP_z,Left_INDEX_FINGER_PIP_x,Left_INDEX_FINGER_PIP_y,Left_INDEX_FINGER_PIP_z,Left_INDEX_FINGER_DIP_x,Left_INDEX_FINGER_DIP_y,Left_INDEX_FINGER_DIP_z,Left_INDEX_FINGER_TIP_x,Left_INDEX_FINGER_TIP_y,Left_INDEX_FINGER_TIP_z,Left_MIDDLE_FINGER_MCP_x,Left_MIDDLE_FINGER_MCP_y,Left_MIDDLE_FINGER_MCP_z,Left_MIDDLE_FINGER_PIP_x,Left_MIDDLE_FINGER_PIP_y,Left_MIDDLE_FINGER_PIP_z,Left_MIDDLE_FINGER_DIP_x,Left_MIDDLE_FINGER_DIP_y,Left_MIDDLE_FINGER_DIP_z,Left_MIDDLE_FINGER_TIP_x,Left_MIDDLE_FINGER_TIP_y,Left_MIDDLE_FINGER_TIP_z,Left_RING_FINGER_MCP_x,Left_RING_FINGER_MCP_y,Left_RING_FINGER_MCP_z,Left_RING_FINGER_PIP_x,Left_RING_FINGER_PIP_y,Left_RING_FINGER_PIP_z,Left_RING_FINGER_DIP_x,Left_RING_FINGER_DIP_y,Left_RING_FINGER_DIP_z,Left_RING_FINGER_TIP_x,Left_RING_FINGER_TIP_y,Left_RING_FINGER_TIP_z,Left_PINKY_MCP_x,Left_PINKY_MCP_y,Left_PINKY_MCP_z,Left_PINKY_PIP_x,Left_PINKY_PIP_y,Left_PINKY_PIP_z,Left_PINKY_DIP_x,Left_PINKY_DIP_y,Left_PINKY_DIP_z,Left_PINKY_TIP_x,Left_PINKY_TIP_y,Left_PINKY_TIP_z,Right_THUMB_CMC_x,Right_THUMB_CMC_y,Right_THUMB_CMC_z,Right_THUMB_MCP_x,Right_THUMB_MCP_y,Right_THUMB_MCP_z,Right_THUMB_IP_x,Right_THUMB_IP_y,Right_THUMB_IP_z,Right_THUMB_TIP_x,Right_THUMB_TIP_y,Right_THUMB_TIP_z,Right_INDEX_FINGER_MCP_x,Right_INDEX_FINGER_MCP_y,Right_INDEX_FINGER_MCP_z,Right_INDEX_FINGER_PIP_x,Right_INDEX_FINGER_PIP_y,Right_INDEX_FINGER_PIP_z,Right_INDEX_FINGER_DIP_x,Right_INDEX_FINGER_DIP_y,Right_INDEX_FINGER_DIP_z,Right_INDEX_FINGER_TIP_x,Right_INDEX_FINGER_TIP_y,Right_INDEX_FINGER_TIP_z,Right_MIDDLE_FINGER_MCP_x,Right_MIDDLE_FINGER_MCP_y,Right_MIDDLE_FINGER_MCP_z,Right_MIDDLE_FINGER_PIP_x,Right_MIDDLE_FINGER_PIP_y,Right_MIDDLE_FINGER_PIP_z,Right_MIDDLE_FINGER_DIP_x,Right_MIDDLE_FINGER_DIP_y,Right_MIDDLE_FINGER_DIP_z,Right_MIDDLE_FINGER_TIP_x,Right_MIDDLE_FINGER_TIP_y,Right_MIDDLE_FINGER_TIP_z,Right_RING_FINGER_MCP_x,Right_RING_FINGER_MCP_y,Right_RING_FINGER_MCP_z,Right_RING_FINGER_PIP_x,Right_RING_FINGER_PIP_y,Right_RING_FINGER_PIP_z,Right_RING_FINGER_DIP_x,Right_RING_FINGER_DIP_y,Right_RING_FINGER_DIP_z,Right_RING_FINGER_TIP_x,Right_RING_FINGER_TIP_y,Right_RING_FINGER_TIP_z,Right_PINKY_MCP_x,Right_PINKY_MCP_y,Right_PINKY_MCP_z,Right_PINKY_PIP_x,Right_PINKY_PIP_y,Right_PINKY_PIP_z,Right_PINKY_DIP_x,Right_PINKY_DIP_y,Right_PINKY_DIP_z,Right_PINKY_TIP_x,Right_PINKY_TIP_y,Right_PINKY_TIP_z
A,-0.053970575,-0.152979195,0.007321103,-0.141381919,-0.242712021,0.008528241,-0.208550215,-0.312917471,0.009532768,-0.238604903,-0.38452065,0.0122399,-0.229963422,-0.173104822,-0.003674072,-0.254788339,-0.232203483,0.001078167,-0.209887385,-0.234203994,0.00203742,-0.175245404,-0.216302454,0.002674298,-0.241565108,-0.091044128,-0.005331531,-0.250253916,-0.161964118,0.014246935,-0.214196682,-0.170333206,0.019983297,-0.18289566,-0.156790614,0.015975297,-0.23247838,-0.019565165,-0.004068259,-0.241892695,-0.092315077,0.015393728,-0.211850047,-0.100997686,0.024428412,-0.180012405,-0.085475504,0.021976322,-0.215294361,0.039651454,-0.002145853,-0.228897631,-0.023592114,0.012995747,-0.201435327,-0.036322593,0.026817594,-0.175513983,-0.029674112,0.034174796,0.040564447,-0.118735492,-0.011244891,0.113732546,-0.193138778,-0.019447793,0.178212136,-0.249174535,-0.0232545,0.211612761,-0.30645299,-0.024429575,0.161133736,-0.096503615,-0.038800598,0.210266292,-0.152495265,-0.041790758,0.177598804,-0.167644322,-0.037845411,0.143367469,-0.160493433,-0.034975909,0.172071665,-0.019618928,-0.034944572,0.202985704,-0.082807362,-0.029693133,0.177354693,-0.102244496,-0.024507089,0.150544613,-0.093160331,-0.027175066,0.172559649,0.045177341,-0.028317063,0.199794113,-0.018874943,-0.025205302,0.178612232,-0.035615683,-0.016791117,0.151545107,-0.025747597,-0.016440858,0.169979334,0.094926059,-0.020937118,0.198607683,0.038372994,-0.019107441,0.177635252,0.023669303,-0.008158405,0.15602842,0.034752548,-0.001587438
A,-0.039718569,-0.151168585,-0.00927838,-0.122398258,-0.240834117,-0.012811994,-0.187545598,-0.302154034,-0.013648228,-0.21726501,-0.36939013,-0.012594368,-0.202535749,-0.157517374,-0.006414342,-0.219992221,-0.219254673,-0.005563703,-0.182059706,-0.218253016,-0.00830553,-0.155183971,-0.194781899,-0.011190103,-0.214715302,-0.073698044,-0.002170267,-0.220716298,-0.144818664,0.009099101,-0.185872734,-0.149800479,0.010499731,-0.161919177,-0.127011836,0.006630683,-0.207279385,-0.00251013,0.002490135,-0.215919018,-0.074223816,0.016737124,-0.184607625,-0.07990849,0.024995262,-0.158621788,-0.061510921,0.02461685,-0.191675485,0.05466485,0.005931155,-0.206707895,-0.007120728,0.018314078,-0.178920329,-0.015374362,0.030729277,-0.157008052,-0.003223836,0.038176555,0.050632805,-0.123880267,-0.008226089,0.128163159,-0.202250302,-0.015939288,0.194015116,-0.262373209,-0.022328453,0.229150564,-0.323839664,-0.026253032,0.175142795,-0.118403852,-0.015172558,0.220434875,-0.161055565,-0.020623185,0.192591787,-0.169242859,-0.025082337,0.161186904,-0.160912275,-0.028028863,0.187263191,-0.043545902,-0.013706066,0.217990727,-0.096538007,-0.010281152,0.193801582,-0.106375038,-0.011321407,0.165276468,-0.094139576,-0.016602975,0.187163145,0.021893621,-0.011169702,0.211303562,-0.033835888,-0.008774408,0.188502431,-0.041116237,-0.00550152,0.161429257,-0.028795779,-0.007542384,0.183062673,0.072412491,-0.008764356,0.208109349,0.023842037,-0.006961466,0.183016122,0.017448902,0.001286392,0.158008695,0.029434443,0.006520413
A,-0.037783741,-0.135342657,-0.004629838,-0.101037263,-0.216883421,-0.010870433,-0.153589308,-0.280693501,-0.016418472,-0.177448689,-0.343219042,-0.020735266,-0.179630458,-0.143717289,-0.010980819,-0.194253444,-0.201828986,-0.017376207,-0.161618113,-0.197172642,-0.02535438,-0.136388778,-0.172696352,-0.030696817,-0.193406105,-0.066033482,-0.010064432,-0.198631703,-0.13532108,-0.00701419,-0.16704458,-0.135692179,-0.00805303,-0.142734766,-0.11370331,-0.012327492,-0.190573275,-0.000369727,-0.007959619,-0.195786654,-0.070732891,-0.000310886,-0.167601645,-0.072462022,0.008285408,-0.142180681,-0.054390669,0.009679279,-0.180959641,0.052698016,-0.00657527,-0.18818891,-0.009080171,0.001956251,-0.162882268,-0.013362884,0.014321055,-0.143194913,0.000639379,0.022551644,0.059847474,-0.111895561,-0.01275459,0.137761384,-0.175824284,-0.024810372,0.198080272,-0.228149593,-0.034672743,0.231762082,-0.291854143,-0.042528758,0.18881309,-0.072688162,-0.0208901,0.218211323,-0.125280261,-0.030370005,0.186667562,-0.130559831,-0.040757382,0.153805614,-0.118053197,-0.047996348,0.191537857,-1.94E-05,-0.018997843,0.205348343,-0.057727635,-0.018069828,0.179258526,-0.067299664,-0.022351457,0.152616441,-0.054689467,-0.030907758,0.178718031,0.061204911,-0.016259436,0.193633706,0.004962325,-0.016211976,0.171047837,-0.006343662,-0.011822604,0.14526996,0.002496422,-0.013524085,0.162018895,0.106989086,-0.014079647,0.181200504,0.059032381,-0.013751694,0.159239173,0.046373904,-0.004072299,0.137134344,0.054602504,0.002143552
A,-0.038439333,-0.132890284,-0.005021037,-0.101588905,-0.213285804,-0.01209298,-0.153400123,-0.277907968,-0.017990569,-0.17719531,-0.341175318,-0.022516995,-0.178550959,-0.139802277,-0.015191179,-0.194881558,-0.200706482,-0.021651218,-0.162494957,-0.195017219,-0.028785795,-0.137313843,-0.169668496,-0.033335486,-0.191901743,-0.061641753,-0.013488323,-0.197000205,-0.132329404,-0.009068193,-0.165659845,-0.132804573,-0.008290544,-0.141723573,-0.111834765,-0.011808775,-0.18831104,0.003400445,-0.010368269,-0.19314295,-0.067846715,-0.001320457,-0.165285706,-0.069279969,0.008190045,-0.140129506,-0.051129162,0.009660109,-0.17803967,0.055319488,-0.007944184,-0.184601307,-0.006076813,0.001759473,-0.159815848,-0.009938777,0.014457448,-0.140695214,0.004520833,0.022572779,0.060700893,-0.11247325,-0.011353419,0.138143569,-0.176043332,-0.022225643,0.196445763,-0.228164017,-0.030996556,0.227739662,-0.290700615,-0.03801491,0.18767038,-0.076406121,-0.017956062,0.219802111,-0.124598474,-0.025043891,0.189245194,-0.132042468,-0.03409916,0.157737791,-0.121076405,-0.04070337,0.189363867,-0.001829446,-0.015651599,0.208392173,-0.060176969,-0.01204821,0.183961004,-0.070498347,-0.015067711,0.157448411,-0.059347689,-0.023131367,0.176481873,0.05965805,-0.012501684,0.195083827,0.000134289,-0.010531679,0.172838986,-0.010722101,-0.006166427,0.146669596,-0.002022147,-0.008173447,0.160724044,0.104663372,-0.009664118,0.181413948,0.05158937,-0.007557426,0.159640163,0.038615107,0.002171841,0.13712126,0.046329915,0.007918929
A,-0.041281461,-0.132221341,-0.003104203,-0.104965686,-0.213484913,-0.008301742,-0.157659113,-0.278228134,-0.013134939,-0.182456493,-0.340061128,-0.016834481,-0.182398021,-0.143174649,-0.008948067,-0.19734013,-0.200798601,-0.013629105,-0.164210855,-0.197480262,-0.020801244,-0.137951314,-0.174770951,-0.025649106,-0.196437895,-0.064806521,-0.008033741,-0.200138509,-0.131416619,-0.002338193,-0.167765319,-0.133217454,-0.003319825,-0.14259243,-0.112751067,-0.008042767,-0.19254136,0.001199543,-0.005720643,-0.19727838,-0.064930022,0.004117695,-0.169212639,-0.067892373,0.011447288,-0.143064141,-0.050740063,0.011443758,-0.181421339,0.054252684,-0.003910472,-0.187337934,-0.001129985,0.006187733,-0.163050055,-0.005959094,0.018014534,-0.143280744,0.008322537,0.025567548,0.059155554,-0.115010738,-0.012652198,0.136670768,-0.181203633,-0.023601231,0.194908828,-0.235219001,-0.032277231,0.225492627,-0.298148781,-0.038982951,0.186641425,-0.07737875,-0.018853149,0.214334697,-0.129996597,-0.026063385,0.181751311,-0.134184539,-0.035051752,0.150160849,-0.12095803,-0.041708708,0.188076079,-0.004067003,-0.016030184,0.201784045,-0.064661741,-0.013903858,0.176954508,-0.0728271,-0.017598406,0.151759356,-0.05837804,-0.026035233,0.174844355,0.056690276,-0.012313577,0.190042585,-0.001555383,-0.011470988,0.16838181,-0.011358559,-0.006726725,0.143131673,-0.000360608,-0.008273656,0.158793569,0.101825297,-0.009053985,0.178451181,0.051992715,-0.007833114,0.156916827,0.040221334,0.002086132,0.135843039,0.050441087,0.008130744
A,-0.041849554,-0.134969234,-0.003491002,-0.107470334,-0.216531574,-0.009042177,-0.158789992,-0.278393417,-0.014473408,-0.179780245,-0.340728968,-0.019399848,-0.185105562,-0.13544321,-0.009150792,-0.194867969,-0.188911139,-0.016033322,-0.161395073,-0.186753511,-0.025736265,-0.134166479,-0.166252017,-0.032352446,-0.194505036,-0.056413829,-0.009227781,-0.196248055,-0.12085402,-0.005999244,-0.164855778,-0.122702419,-0.008596399,-0.13940835,-0.103176474,-0.014165122,-0.187995017,0.009769619,-0.008200835,-0.190176725,-0.054983675,-0.000730363,-0.163735151,-0.056750297,0.005042279,-0.13884306,-0.039723336,0.004339814,-0.175574541,0.063161135,-0.007820825,-0.179323077,0.009341419,0.000231811,-0.154595435,0.004468143,0.010769649,-0.135284722,0.017271877,0.017588921,0.056194454,-0.115023494,-0.012804731,0.136002749,-0.180903971,-0.022891792,0.195575207,-0.233398556,-0.030639473,0.225256979,-0.297134787,-0.036287408,0.179156601,-0.08796674,-0.019116782,0.214450121,-0.137248873,-0.029927842,0.182861954,-0.142597109,-0.039827794,0.150390923,-0.129363596,-0.045966253,0.182742118,-0.013304054,-0.016885739,0.204869985,-0.071323693,-0.017816002,0.18006587,-0.081115663,-0.021005819,0.153401613,-0.065962493,-0.027762672,0.17415741,0.049314678,-0.014432986,0.196456134,-0.007459163,-0.016486587,0.17422527,-0.018263101,-0.011847448,0.148283183,-0.005914747,-0.012284705,0.162781328,0.096935928,-0.012469027,0.186866551,0.047402323,-0.014049056,0.164527893,0.035989762,-0.005078866,0.142517447,0.047691286,0.00117163
A,-0.041085959,-0.134492159,-0.004149762,-0.109043181,-0.214950442,-0.010889384,-0.161280811,-0.275660217,-0.017843395,-0.18385166,-0.340343744,-0.02421049,-0.191431761,-0.139709055,-0.007398365,-0.198597312,-0.187981665,-0.01745489,-0.164217174,-0.184656799,-0.030168496,-0.136608064,-0.164433658,-0.038440825,-0.201425791,-0.060496092,-0.008395012,-0.201210499,-0.118693769,-0.006951542,-0.169131041,-0.12057656,-0.010050736,-0.142700315,-0.103331387,-0.015706124,-0.19511658,0.008204877,-0.008990908,-0.193817139,-0.053619265,-0.003228153,-0.166136086,-0.055148661,0.00336669,-0.140175343,-0.03992486,0.003743096,-0.183053077,0.064107835,-0.010539807,-0.183120787,0.010034919,-0.003538678,-0.156741798,0.005034626,0.00743712,-0.136550844,0.016829133,0.015041679,0.052954585,-0.110270738,-0.014824378,0.126986713,-0.177229583,-0.028515823,0.18706438,-0.231484591,-0.039614155,0.22003004,-0.296070277,-0.048293139,0.171209932,-0.084480404,-0.026151256,0.20574525,-0.134305059,-0.038981571,0.174381316,-0.141771972,-0.04871761,0.140514106,-0.128909051,-0.054625883,0.176202536,-0.011433601,-0.024699862,0.195529253,-0.069042027,-0.027216942,0.170952291,-0.078408598,-0.030692232,0.144369513,-0.06332916,-0.037998691,0.168854535,0.051324606,-0.022782876,0.187878162,-0.007752716,-0.026246905,0.165039748,-0.016918301,-0.020917726,0.138615311,-0.004126131,-0.021177815,0.158812315,0.099689663,-0.021513631,0.181685061,0.048035861,-0.025476831,0.1587618,0.038898051,-0.016458647,0.135634721,0.051243485,-0.009815621
A,-0.040282547,-0.134063602,-0.004138312,-0.108310342,-0.215142727,-0.010675646,-0.161213219,-0.28011024,-0.016911748,-0.183953583,-0.347798765,-0.022851112,-0.192170262,-0.14354223,-0.009334765,-0.195414185,-0.187635541,-0.016070791,-0.162632585,-0.1843099,-0.026490607,-0.137969911,-0.164887369,-0.033817808,-0.202442706,-0.06470561,-0.009439801,-0.199831068,-0.119533479,-0.003349179,-0.169691205,-0.122234047,-0.004245844,-0.146659613,-0.105867446,-0.009802142,-0.194985628,0.004811585,-0.008660052,-0.194313824,-0.053293526,3.92E-05,-0.167335272,-0.055647493,0.00722512,-0.142856836,-0.04105252,0.006893425,-0.180993855,0.062149644,-0.008694224,-0.183222711,0.012092709,0.000124864,-0.158032,0.006261587,0.011669806,-0.138486385,0.018070817,0.019014835,0.055170357,-0.114949823,-0.013845209,0.132564813,-0.17829758,-0.025428338,0.194332778,-0.22756809,-0.0340117,0.223373115,-0.289208114,-0.04002411,0.170598298,-0.081577778,-0.027582385,0.215231061,-0.134196937,-0.037546251,0.181245089,-0.139808774,-0.04337252,0.148059636,-0.125021458,-0.046689798,0.174080312,-0.007872403,-0.024883157,0.203916878,-0.069389165,-0.026520333,0.178224474,-0.079896927,-0.027495534,0.152037412,-0.064469219,-0.032596458,0.167030394,0.054195881,-0.021235152,0.1940974,-0.006703258,-0.023552269,0.171566784,-0.018434108,-0.016985752,0.146080196,-0.006060779,-0.016272355,0.158054471,0.101202964,-0.017862302,0.187716693,0.048257351,-0.019634398,0.164896876,0.036326408,-0.009553971,0.142283171,0.048682868,-0.002632752
A,-0.038315594,-0.134965897,-0.004236027,-0.111128926,-0.218108297,-0.009663084,-0.166559636,-0.280302585,-0.014502071,-0.1903615,-0.345232964,-0.018973426,-0.195670545,-0.148063839,-0.01105934,-0.201000988,-0.195052267,-0.018183431,-0.166573644,-0.191566647,-0.028174643,-0.140981734,-0.169989288,-0.035254727,-0.207194328,-0.068307937,-0.011257833,-0.203887582,-0.12509048,-0.006783839,-0.171535849,-0.125725389,-0.008356845,-0.146871626,-0.106505037,-0.013966294,-0.199864089,0.002465724,-0.010440511,-0.198881626,-0.057949543,-0.00362809,-0.170058906,-0.060107291,0.003588293,-0.144849002,-0.044323147,0.003640748,-0.185643971,0.061718761,-0.010248241,-0.187668621,0.00660324,-0.003483976,-0.161001325,-0.000841082,0.007712167,-0.141314864,0.010476946,0.015120696,0.05420655,-0.114664674,-0.013805054,0.135001182,-0.181773245,-0.024319762,0.197765827,-0.233721018,-0.031613446,0.229801535,-0.293902755,-0.036158513,0.171901792,-0.091866314,-0.027926774,0.216327488,-0.136392653,-0.038566317,0.185999065,-0.142663538,-0.044825993,0.151620447,-0.133557617,-0.048096526,0.176793873,-0.018138766,-0.025550598,0.205094158,-0.069641888,-0.026387309,0.180755615,-0.078199386,-0.026911012,0.152688652,-0.066975355,-0.031896795,0.171962171,0.046579659,-0.022560916,0.19663161,-0.006111443,-0.024612639,0.174526333,-0.015829205,-0.018559385,0.148053169,-0.006762087,-0.018210641,0.164144754,0.097984731,-0.019952358,0.192803263,0.050331831,-0.021614408,0.169437736,0.039138198,-0.011930285,0.145715415,0.048286736,-0.005350878
A,-0.03803283,-0.136035979,-0.001823699,-0.109652877,-0.218910575,-0.00534432,-0.165522397,-0.282576114,-0.008907472,-0.189182043,-0.345324457,-0.01227184,-0.192467511,-0.154383183,-0.0063027,-0.200190604,-0.197671175,-0.010422764,-0.165874183,-0.1935606,-0.018219742,-0.138850629,-0.17317456,-0.024216774,-0.204584301,-0.073732197,-0.007272812,-0.202981532,-0.127116442,-0.000924474,-0.171339452,-0.127551079,-0.002402618,-0.145963967,-0.109055161,-0.008068222,-0.19823581,-0.001090765,-0.006987442,-0.198608935,-0.058241129,0.001648395,-0.170920134,-0.06028682,0.008325305,-0.145331085,-0.044973433,0.007636546,-0.184777916,0.06028384,-0.007153074,-0.187490165,0.008921623,0.000776138,-0.161645115,0.002426863,0.011990476,-0.141857147,0.013901174,0.019207283,0.053414643,-0.112977326,-0.015423472,0.132025719,-0.181654692,-0.027343925,0.19418335,-0.235845149,-0.035446672,0.225545287,-0.297137171,-0.040615181,0.164490283,-0.090443313,-0.033071878,0.20849067,-0.134113968,-0.043402454,0.177476168,-0.139764011,-0.048069073,0.144928575,-0.129853964,-0.050637899,0.168827504,-0.016453743,-0.029666741,0.197914213,-0.068953336,-0.030859212,0.17499131,-0.076671958,-0.030196408,0.148641318,-0.06348598,-0.03486733,0.164561898,0.047845363,-0.025413513,0.188449443,-0.005922437,-0.027918468,0.166972995,-0.0136742,-0.021044329,0.141453475,-0.001974106,-0.020530001,0.158154786,0.098524391,-0.021573264,0.184618026,0.049568176,-0.023987839,0.160778105,0.04071778,-0.014751691,0.138177782,0.052689552,-0.008844083
